Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CustomerTest Suite,Chrome 122.0.0.0,,,05-03-2024 15:40:35,05-03-2024 15:41:16,41.268s,ERROR
,,,,,,,
Test Cases/Test_input1,Chrome 122.0.0.0,,,05-03-2024 15:40:35,05-03-2024 15:40:40,4.638s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 15:40:35,05-03-2024 15:40:37,1.268s,PASSED
"navigateToUrl(""http://localhost/customerphp/customer.php"")",Chrome 122.0.0.0,,,05-03-2024 15:40:37,05-03-2024 15:40:37,0.169s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""), ""johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 15:40:37,05-03-2024 15:40:37,0.771s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""canonc"")",Chrome 122.0.0.0,,,05-03-2024 15:40:37,05-03-2024 15:40:38,0.594s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Age_age""), ""2"")",Chrome 122.0.0.0,,,05-03-2024 15:40:38,05-03-2024 15:40:39,0.542s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/button_Submit""))",Chrome 122.0.0.0,,,05-03-2024 15:40:39,05-03-2024 15:40:39,0.327s,PASSED
"verifyTextPresent(""First Name: johnjohn"", false)",Chrome 122.0.0.0,,,05-03-2024 15:40:39,05-03-2024 15:40:39,0.295s,PASSED
"takeFullPageScreenshot(""Photo/number1.png"")",Chrome 122.0.0.0,,,05-03-2024 15:40:39,05-03-2024 15:40:40,0.385s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 15:40:40,05-03-2024 15:40:40,0.105s,PASSED
,,,,,,,
Test Cases/Test_input10,Chrome 122.0.0.0,,,05-03-2024 15:40:40,05-03-2024 15:40:44,4.270s,FAILED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 15:40:40,05-03-2024 15:40:40,0.610s,PASSED
"navigateToUrl(""http://localhost/customerphp/customer.php"")",Chrome 122.0.0.0,,,05-03-2024 15:40:40,05-03-2024 15:40:41,0.132s,PASSED
